Line,Identifier 1,block,Identifier 2,delta.O18,delta.H2,sd.O18,sd.H2,d.Excess,sd.d.Excess
1,MilliQ IsoLab_2,1,NA,NA,NA,NA,NA,NA,NA
2,SEZ-2_3,1,NA,-28.06580997303989,-213.73418961522296,0.015595354642015368,0.1285863111913428,10.79229016909614,0.042287643763680854
3,HGL-1_7,1,NA,-0.8790969265890604,-8.60271293337066,0.029276103167600015,0.18173187507544228,-1.5699375206581767,0.230069614335626
4,MXW_7,1,NA,-43.58365588913042,-360.03195547114007,0.042854574381497916,0.32441934001709183,-11.362708358096759,0.28268806079387415
5,HDW1_3,1,NA,-13.375578152112002,-102.83465446800446,0.02511838542582886,0.24973409235023927,4.169970748891552,0.0934021543596496
6,NGT_3,1,NA,-35.50289898874597,-277.23804233014573,0.020611148699531904,0.08962006393918757,6.78514957982198,0.12548756256822793
7,S419_29.09.2017,NA,NA,-12.681616299828878,-106.86499004151815,0.10739185026780118,0.3905535273205055,-5.412059642887132,0.4909066750862719
8,S420_30.09.2017,NA,NA,-16.9123040877833,-119.42669137977661,0.24656976137011782,0.5982372992674587,15.871741322489797,1.3780118959548588
9,S421_03.10.2017,NA,NA,-23.50555974916979,-176.48273817627032,0.4418302219029132,1.8285489954965681,11.561739817087991,1.7076779445459542
10,S422_04.10.2017,NA,NA,NA,NA,NA,NA,NA,NA
11,S431_03.11.2017,NA,NA,NA,NA,NA,NA,NA,NA
12,S437_03.12.2017,NA,NA,-32.658460675340166,-253.76442261105052,0.043943789689811094,0.2858791998476429,7.503262791670821,0.13391887668802738
13,S439_20.12.17,NA,NA,-32.32994912857818,-251.26686208592164,0.01322940278858942,0.09178611603139848,7.372730942703773,0.14431059729416745
14,S443_23.01.2018,NA,NA,-19.958816812408685,-192.92123298666365,0.009882319995140911,0.06271180104783082,-33.25069848739415,0.0407709501358722
15,S455_10.04.2018,NA,NA,8.072932079026934,-83.7765127367616,0.045347894963538346,0.19054354672373008,-148.35996936897706,0.1862520498216708
16,S488_16.09.2018_NM,NA,NA,-6.579049830317221,-114.24578682589267,0.022765635106598667,0.06667284722209027,-61.61338818335489,0.1699101589786232
17,S536_08.04.2019_NM,NA,NA,-21.62033204571737,-166.8066043038256,0.029428428402246645,0.13093949809576208,6.156052061913381,0.1296633335512874
18,S537_09.04.2019_NM,NA,NA,-18.688519221878614,-166.28651032928568,0.013882439815644375,0.11668675043730886,-16.778356554256778,0.051290126773040685
19,S519_31.01.2019_NM,NA,NA,-38.3637120857956,-312.2645472631376,0.03513824053771282,0.21539405617351232,-5.35485057677288,0.20660769849681432
20,S532_14.03.2019_NM,NA,NA,-33.36524324806543,-265.81735399872764,0.03408265997549861,0.16290499158766397,1.1045919857957927,0.19501756199647172
21,S529_07.03.2019_NM,NA,NA,-29.489923463025853,-232.7401983365572,0.024585158631196525,0.07048846174505177,3.1791893676496272,0.1422383235824138
22,S496_18.10.2018_NM,NA,NA,-9.267112510134877,-104.71274555664318,0.07336248761356913,0.43280383083826873,-30.57584547556416,0.18155323105787535
23,S490_22.09.2018_NM,NA,NA,-21.38855405458814,-160.0563904848908,0.06494498909968764,0.23490293474598636,11.052041951814331,0.30425673007239046
24,SEZ-2_3,2,NA,-28.084014213528082,-213.9996132146724,0.026198790669614544,0.12360821323773998,10.672500493552258,0.11610959337365243
25,HGL-1_7,2,NA,-1.1095268787951946,-11.740597037794071,0.3356155407446449,4.127722036273544,-2.864382007432514,1.496462455279817
26,MilliQ IsoLab_2,2,NA,-9.803887113684363,-70.73759530276192,0.015159422839229325,0.1927253368920528,7.693501606712981,0.1701220271034489
27,MXW_7,2,NA,-43.61895739834186,-360.1143436708456,0.015753176008215075,0.08488272460338198,-11.162684484110656,0.09688275462483703
28,HDW1_3,2,NA,-13.343547850268052,-102.3133861520102,0.01639454025784754,0.18815912959870829,4.434996650134219,0.116778463719608
29,NGT_3,2,NA,-35.54924945728615,-277.5833249079188,0.057266793665191454,0.29887518221866133,6.810670750370453,0.20757299134401286
30,S492_08.10.2018_NM,NA,NA,-17.2538789299965,-139.170818182367,0.02580905734402217,0.13735848308317306,-1.1397867423949748,0.10506315388343668
31,S498_28.10.2018_NM,NA,NA,-12.055613506387834,-126.48952991387806,0.023148159343412827,0.19252193611563362,-30.04462186277539,0.07485603959368997
32,S499_02.11.2018_NM,NA,NA,-8.62813383762818,-111.6775495047018,0.007738157379714157,0.08885242270415508,-42.65247880367635,0.076111956856168
33,S500_27.11.2018_NM,NA,NA,-19.89605689984863,-187.83025500726544,0.024083853955174674,0.09451497214857649,-28.661799808476385,0.10470130178429718
34,S501_10.12.2018_NM,NA,NA,-29.333723897072154,-229.0912201578812,0.03747247247777506,0.1281819054794474,5.578571018696039,0.21244089462816496
35,S502_12.12.2018_NM,NA,NA,-21.86697679407778,-196.9982283509371,0.027298307054092297,0.03701456520835865,-22.06241399831487,0.23887283241040286
36,T_26.09.2018_NM,NA,NA,-15.155198870685448,-151.99093509825053,0.007537415195271806,0.07151948505506046,-30.749344132766954,0.02680804592643553
37,T_30.10.2018_NM,NA,NA,-40.985741060703646,-316.9686069839744,0.06335389211842522,0.3030411687417851,10.917321501654811,0.23424421641914528
38,T338_31.12.2018_NM,NA,NA,-32.412257917572134,-250.14704355657275,0.014528074156197824,0.08821980567697815,9.151019784004314,0.0875036445819367
39,T345_27.01.2019_NM,NA,NA,-37.636747144199234,-299.3247003157742,0.027237580317990274,0.12421435966463205,1.7692768378197172,0.11628259744730776
40,S497_21.10.2018_Auffüllung,NA,NA,-18.106358686558075,-154.11180576907896,0.04189907299749263,0.3091958715917601,-9.260936276614345,0.09596664558899462
41,S487_10.09.2018_Auffüllung,NA,NA,-23.002794891351616,-180.15793709957566,0.015319306420724354,0.09909338508062414,3.864422031237254,0.15723351730147195
42,S489_21.09.2018_Auffüllung,NA,NA,-19.112913474891936,-143.4711560925503,0.0832510938349001,0.29409436000090644,9.432151706585207,0.41067943358348014
43,S535_30.03.2019_Auffüllung,NA,NA,-26.345765663811243,-224.11287032285188,0.032447323008798164,0.1740895439695426,-13.34674501236193,0.10503258717426187
44,S491_24.09.2018_Auffüllung,NA,NA,-19.493781720956004,-146.4861408149777,0.08429438383685846,0.28485003034883066,9.464112952670334,0.3983209535900405
45,S494_10.10.2018_Auffüllung,NA,NA,-10.9820552204377,-97.31564452187207,0.04417452280296897,0.08685115681315937,-9.45920275837046,0.3081633707201712
46,SEZ-2_3,3,NA,-28.019425300304338,-213.69174188281053,0.04294642710129522,0.22567774945356847,10.463660519624165,0.1362886712112587
47,HGL-1_7,3,NA,-0.927045460350908,-8.929905853887435,0.029423337428946136,0.305054866502616,-1.5135421710801717,0.11283759186783508
48,MXW_7,3,NA,-43.620467664638966,-360.2980873706005,0.12007001274107149,0.6802979973677931,-11.334346053488767,0.2980056460361266
49,HDW1_3,3,NA,-13.330300525277552,-102.48393734031166,0.05249015683757818,0.29156562308184447,4.158466861908761,0.469601877248998
